Val,EpisodeID,SceneID,VehicleArrayID,VehicleName,x,y,z,rays,LOS
I,0,0,0,flow1.2,704.18681848265,670.58971778045,1.59,25,LOS=0
V,0,0,1,flow11.0,753.3833848633,655.44754663915,4.3,25,LOS=0
I,0,0,2,flow12.0,783.94351941255,408.6253222917,1.59,25,LOS=1
I,0,0,3,flow12.1,832.2173789167,371.13676687655004,3.2,25,LOS=0
V,0,0,4,flow3.0,756.6564658932,514.19045865405,1.59,25,LOS=1
V,0,0,5,flow6.1,746.9595274421,652.75583972565,1.59,25,LOS=1
I,0,0,6,flow7.2,748.77667946875,420.24458371590003,4.3,20,LOS=0
I,0,0,7,flow7.3,702.74528273365,445.1358988597,3.2,25,LOS=0
I,0,0,8,flow7.4,688.1055462007,452.2591859074,1.59,25,LOS=0
V,0,0,9,flow9.0,765.5127845234999,433.64539792815003,3.2,25,LOS=1
I,1,0,0,flow1.4,695.3198330717,670.6600732313,4.3,8,LOS=0
V,1,0,1,flow11.3,756.056322326,617.2539529309499,4.3,25,LOS=0
V,1,0,2,flow12.2,752.45968555105,621.40356227385,1.59,25,LOS=1
I,1,0,3,flow3.2,738.54073255095,668.9052296294001,3.2,25,LOS=1
I,1,0,4,flow4.1,730.12096017075,680.2845770578999,1.59,25,LOS=1
I,1,0,5,flow6.1,763.67877940315,421.7467550489,1.59,25,LOS=1
V,1,0,6,flow6.2,747.02389761205,651.8360156828,3.2,25,LOS=1
I,1,0,7,flow7.7,793.6318130364,388.5646839002,3.2,25,LOS=1
V,1,0,8,flow9.1,763.1408371883999,516.02334576165,4.3,16,LOS=0
V,1,0,9,flow9.2,762.99223168945,470.89768078584996,1.59,25,LOS=1
I,2,0,0,flow10.6,787.17365492695,406.11686087019996,1.59,25,LOS=1
V,2,0,1,flow11.4,754.84175124335,634.6089547250999,1.59,25,LOS=1
V,2,0,2,flow11.5,759.7323463318501,564.72725924575,1.59,25,LOS=1
V,2,0,3,flow12.2,749.91555941505,657.75810956755,1.59,25,LOS=0
V,2,0,4,flow2.4,746.82890957265,607.3438368121999,1.59,25,LOS=1
V,2,0,5,flow3.2,761.55947592055,444.12840182415005,3.2,25,LOS=1
I,2,0,6,flow4.4,729.16180892935,680.29218748185,1.59,25,LOS=1
I,2,0,7,flow7.9,705.79010196375,443.4869369453,1.59,25,LOS=0
V,2,0,8,flow8.0,760.00285885845,513.61462568355,1.59,25,LOS=1
V,2,0,9,flow9.3,754.02134377885,646.3317540089499,3.2,25,LOS=1
I,3,0,0,flow1.11,787.9604831102499,673.70454677315,1.59,25,LOS=0
I,3,0,1,flow11.6,793.0327802311,401.5667762923,1.59,25,LOS=0
I,3,0,2,flow11.7,837.3390700286,367.1593595791,1.59,25,LOS=0
I,3,0,3,flow2.6,744.06933934515,646.80084971415,1.59,25,LOS=1
V,3,0,4,flow3.3,762.3351290029,433.04462878904997,1.59,25,LOS=1
V,3,0,5,flow3.4,753.79988309665,555.0098869477999,3.2,25,LOS=1
I,3,0,6,flow4.7,686.40713426485,680.63142616005,1.59,25,LOS=0
I,3,0,7,flow5.2,695.7204971015001,457.86650260985,3.2,25,LOS=0
I,3,0,8,flow7.13,759.73417005745,414.3609413259,1.59,25,LOS=1
I,3,0,9,flow9.4,685.1389849802499,452.668745313,1.59,25,LOS=0
I,4,0,0,flow1.13,738.0744934331,670.32374146525,1.59,25,LOS=1
I,4,0,1,flow11.8,766.88642739805,462.50262084325004,3.2,25,LOS=1
I,4,0,2,flow4.11,687.2519705434499,680.6247227727999,1.59,25,LOS=0
I,4,0,3,flow4.13,787.8060918788999,680.3040488235,4.3,3,LOS=0
I,4,0,4,flow5.3,710.15561306265,452.38219510174997,1.59,25,LOS=0
V,4,0,5,flow5.5,758.4115477545499,441.73243122860003,3.2,25,LOS=1
I,4,0,6,flow7.16,732.0046586577,429.29009886565,1.59,25,LOS=0
V,4,0,7,flow8.1,750.9776803619,642.58082505875,1.59,25,LOS=1
V,4,0,8,flow8.2,752.588268867,619.56615799775,1.59,25,LOS=1
I,4,0,9,flow9.6,745.1460573361001,425.92345566775,1.59,25,LOS=0
I,5,0,0,flow1.16,673.25194097725,670.8351718048,3.2,25,LOS=0
I,5,0,1,flow10.13,836.5445042802501,367.7764041327,1.59,25,LOS=0
V,5,0,2,flow11.12,757.20281979325,600.8716547798001,3.2,25,LOS=1
I,5,0,3,flow11.14,824.1755802781499,377.38187379349995,1.59,25,LOS=0
I,5,0,4,flow11.8,778.1358399948499,670.36674033395,3.2,25,LOS=0
V,5,0,5,flow5.8,758.2415159969,444.16358706165,1.59,25,LOS=1
I,5,0,6,flow6.4,762.534288497,430.69275439125,1.59,25,LOS=1
I,5,0,7,flow7.21,667.79976842035,451.73044757075,3.2,25,LOS=0
V,5,0,8,flow8.1,749.4491853519,664.42240883215,1.59,25,LOS=1
V,5,0,9,flow8.2,749.7944784487,659.48830826165,1.59,25,LOS=1
I,6,0,0,flow1.18,720.02351211475,670.46406090065,1.59,25,LOS=0
I,6,0,1,flow2.8,685.0608388350499,670.74147363185,1.59,25,LOS=0
I,6,0,2,flow4.21,678.81521583155,680.6916645409,1.59,25,LOS=0
I,6,0,3,flow4.22,759.8997144735,680.1968276306,1.59,25,LOS=1
V,6,0,4,flow5.11,758.0136968045999,447.42100182900003,1.59,25,LOS=0
V,6,0,5,flow5.12,756.36268590255,471.02756121855,3.2,25,LOS=1
V,6,0,6,flow5.13,748.64765271205,628.63320323475,1.59,25,LOS=1
I,6,0,7,flow5.14,815.98391316935,677.1122745297,4.3,5,LOS=0
I,6,0,8,flow7.23,784.6344838369,395.5528151982,3.2,25,LOS=1
I,6,0,9,flow7.24,744.0536651846,422.76480085355,1.59,25,LOS=0
I,7,0,0,flow10.17,738.0811679645501,437.253406998,3.2,25,LOS=0
I,7,0,1,flow11.15,779.12251592845,670.3705313158,3.2,25,LOS=0
V,7,0,2,flow12.4,757.3775614413,551.12907819495,1.59,25,LOS=1
V,7,0,3,flow12.5,760.69261086345,503.75834476575,1.59,25,LOS=0
I,7,0,4,flow12.6,779.7118595072,411.9115483877,3.2,25,LOS=1
V,7,0,5,flow2.8,759.0609164182999,432.44759858085,1.59,25,LOS=1
V,7,0,6,flow2.9,752.0416006519999,532.81149944955,1.59,25,LOS=1
V,7,0,7,flow5.16,746.3054288606,662.9444169108,3.2,25,LOS=1
I,7,0,8,flow7.26,679.7362064010999,450.0825191846,1.59,25,LOS=0
I,7,0,9,flow8.4,692.047966359,451.71490074465,1.59,25,LOS=0
I,8,0,0,flow10.19,732.5389156708,440.25594574305,4.3,0,LOS=0
I,8,0,1,flow10.20,753.60894646285,428.84116697455,1.59,25,LOS=1
V,8,0,2,flow12.5,750.0393320462,655.98944805775,1.59,25,LOS=0
V,8,0,3,flow12.8,757.55234556125,548.63148286565,1.59,25,LOS=1
I,8,0,4,flow4.26,816.84608094845,680.41562555115,1.59,25,LOS=0
V,8,0,5,flow5.17,751.8798303183501,535.12453141275,3.2,25,LOS=1
V,8,0,6,flow5.18,749.8861152827,563.6311586772999,1.59,25,LOS=1
I,8,0,7,flow7.28,676.551053744,450.52225702655,3.2,25,LOS=0
I,8,0,8,flow9.7,733.98802157145,431.96623674115,1.59,25,LOS=0
I,8,0,9,flow9.8,666.84695339345,455.19411830465003,1.59,25,LOS=0
I,9,0,0,flow10.23,761.2946697284001,424.8121416445,1.59,25,LOS=1
I,9,0,1,flow10.24,841.2065704728,364.1559327512,1.59,25,LOS=0
I,9,0,2,flow11.19,764.87429105815,670.3157871387,1.59,25,LOS=1
I,9,0,3,flow12.4,701.57219880835,677.21086031195,1.59,25,LOS=0
V,9,0,4,flow12.5,749.44918539305,664.42240824385,1.59,25,LOS=0
V,9,0,5,flow12.8,751.2605520198,638.53870194215,1.59,25,LOS=1
V,9,0,6,flow6.11,753.32333005485,561.81963975445,1.59,25,LOS=1
V,9,0,7,flow6.12,760.51388496905,676.8991489595501,1.59,25,LOS=1
I,9,0,8,flow6.9,827.4962953975,366.4479174942,1.59,25,LOS=0
I,9,0,9,flow9.7,801.4158497463,670.4561862114999,1.59,25,LOS=0
I,10,0,0,flow2.11,742.2931493886,434.97154815275,1.59,25,LOS=0
V,10,0,1,flow2.13,754.9871094824,490.6958907342,1.59,25,LOS=1
I,10,0,2,flow2.14,663.4000417710499,670.91334209355,3.2,25,LOS=0
V,10,0,3,flow3.7,752.51356993985,573.39078867695,1.59,25,LOS=1
V,10,0,4,flow6.10,762.0866350076501,436.59550882355,4.3,25,LOS=0
V,10,0,5,flow6.13,750.4152583572,603.37482389785,1.59,25,LOS=1
I,10,0,6,flow7.38,685.7934317808,449.2462668905,1.59,25,LOS=0
I,10,0,7,flow8.4,702.82894110625,677.2008886399,1.59,25,LOS=0
I,10,0,8,flow8.6,718.74460179115,440.22151127915004,1.59,25,LOS=0
I,10,0,9,flow8.7,665.3514900248499,452.0684535548,1.59,25,LOS=0
V,11,0,0,flow12.9,748.0600976170999,670.98804572575,1.59,25,LOS=1
V,11,0,1,flow2.15,752.8410457791,521.38083666735,1.59,25,LOS=1
I,11,0,2,flow5.19,751.11741007545,430.19096740609996,1.59,25,LOS=0
V,11,0,3,flow5.20,756.14317596505,474.16616821845,3.2,25,LOS=1
V,11,0,4,flow5.22,750.4487985782,555.58577471525,1.59,25,LOS=1
V,11,0,5,flow5.23,748.7156146807,627.66205382175,1.59,25,LOS=1
V,11,0,6,flow8.6,751.0587466196,641.42242058355,1.59,25,LOS=1
V,11,0,7,flow8.8,755.5942254612501,576.61223774115,4.3,25,LOS=0
V,11,0,8,flow8.9,760.99884767805,499.38234288335,3.2,25,LOS=1
I,11,0,9,flow9.10,765.0076779502,424.42735297895,1.59,25,LOS=0
V,12,0,0,flow11.25,764.1163753624,502.08388433150003,4.3,18,LOS=0
V,12,0,1,flow3.7,760.7779537012,455.29604248605,1.59,25,LOS=0
I,12,0,2,flow4.39,809.9714551338,680.3892120339,4.3,2,LOS=0
V,12,0,3,flow6.11,761.4685398963,445.42784132484996,1.59,25,LOS=1
V,12,0,4,flow6.12,761.12324679835,450.36194191084996,1.59,25,LOS=0
V,12,0,5,flow6.13,760.4326605964,460.23014317045,1.59,25,LOS=0
V,12,0,6,flow8.10,757.8537957092,544.32388054025,1.59,25,LOS=0
I,12,0,7,flow8.6,683.19049774495,677.35671065515,1.59,25,LOS=0
V,12,0,8,flow9.11,753.0179617963,660.6690755181,4.3,25,LOS=0
V,12,0,9,flow9.13,763.0190734891501,517.7632268177,3.2,25,LOS=1
I,13,0,0,flow1.35,731.76844437545,670.3708702653,3.2,25,LOS=1
I,13,0,1,flow10.35,720.34827719955,446.8602759678,4.3,2,LOS=0
I,13,0,2,flow10.36,739.5016559015501,436.48385161839997,1.59,25,LOS=0
V,13,0,3,flow11.26,752.95042303685,661.63413660605,3.2,25,LOS=0
V,13,0,4,flow3.8,760.7054624769501,456.33191315420004,4.3,25,LOS=0
I,13,0,5,flow4.43,770.2152118298,680.2364615793499,1.59,25,LOS=0
V,13,0,6,flow6.12,762.3608146749,432.67759078535,1.59,25,LOS=0
V,13,0,7,flow6.13,761.67022841545,442.5457928663,1.59,25,LOS=0
I,13,0,8,flow7.51,705.48261390605,443.65346114855004,1.59,25,LOS=0
I,13,0,9,flow9.19,740.0980357186,428.65727819100005,3.2,25,LOS=0
V,14,0,0,flow12.12,752.3719595223,622.65713221905,1.59,25,LOS=1
V,14,0,1,flow3.8,761.05285005305,451.36788331045,4.3,25,LOS=0
I,14,0,2,flow4.45,685.72818954265,680.63681327415,4.3,8,LOS=0
I,14,0,3,flow4.46,724.73494671005,680.3273125974,1.59,25,LOS=0
V,14,0,4,flow5.26,758.7869017779,436.3655272111,4.3,25,LOS=0
I,14,0,5,flow7.55,676.71132580105,450.5001300844,1.59,25,LOS=0
I,14,0,6,flow8.11,750.3889417343,423.08410264185,1.59,25,LOS=0
V,14,0,7,flow8.9,750.83876498205,644.5658704045,3.2,25,LOS=0
V,14,0,8,flow9.19,754.3706638594499,641.3403206442499,3.2,25,LOS=1
